date,base,quote,rate
2026-01-01,EUR,GBP,0.87241
2026-01-01,EUR,USD,1.175
2026-01-02,EUR,GBP,0.87205
2026-01-02,EUR,USD,1.1741
2026-01-03,EUR,GBP,0.872
2026-01-03,EUR,USD,1.1739
2026-01-04,EUR,GBP,0.8719
2026-01-04,EUR,USD,1.1737
2026-01-05,EUR,GBP,0.86976
2026-01-05,EUR,USD,1.1705
2026-01-06,EUR,GBP,0.86694
2026-01-06,EUR,USD,1.1715
2026-01-07,EUR,GBP,0.86642
2026-01-07,EUR,USD,1.1698
2026-01-08,EUR,GBP,0.86735
2026-01-08,EUR,USD,1.1675
2026-01-09,EUR,GBP,0.86759
2026-01-09,EUR,USD,1.1656
2026-01-10,EUR,GBP,0.86745
2026-01-10,EUR,USD,1.1653
2026-01-11,EUR,GBP,0.86744
2026-01-11,EUR,USD,1.1652
2026-01-12,EUR,GBP,0.86785
2026-01-12,EUR,USD,1.1669
2026-01-13,EUR,GBP,0.86642
2026-01-13,EUR,USD,1.1667
2026-01-14,EUR,GBP,0.86655
2026-01-14,EUR,USD,1.1659
2026-01-15,EUR,GBP,0.86706
2026-01-15,EUR,USD,1.1644
2026-01-16,EUR,GBP,0.86675
2026-01-16,EUR,USD,1.1617
2026-01-17,EUR,GBP,0.86668
2026-01-17,EUR,USD,1.1616
2026-01-18,EUR,GBP,0.86665
2026-01-18,EUR,USD,1.1615
2026-01-19,EUR,GBP,0.86783
2026-01-19,EUR,USD,1.1632
2026-01-20,EUR,GBP,0.86861
2026-01-20,EUR,USD,1.1675
2026-01-21,EUR,GBP,0.87234
2026-01-21,EUR,USD,1.1724
2026-01-22,EUR,GBP,0.87155
2026-01-22,EUR,USD,1.1706
2026-01-23,EUR,GBP,0.86934
2026-01-23,EUR,USD,1.1732
2026-01-24,EUR,GBP,0.86901
2026-01-24,EUR,USD,1.1737
2026-01-25,EUR,GBP,0.86897
2026-01-25,EUR,USD,1.1739
2026-01-26,EUR,GBP,0.8682
2026-01-26,EUR,USD,1.1821
2026-01-27,EUR,GBP,0.86827
2026-01-27,EUR,USD,1.1885
2026-01-28,EUR,GBP,0.86858
2026-01-28,EUR,USD,1.1957
2026-01-29,EUR,GBP,0.86716
2026-01-29,EUR,USD,1.1968
2026-01-30,EUR,GBP,0.8671
2026-01-30,EUR,USD,1.1933
2026-01-31,EUR,GBP,0.8671
2026-01-31,EUR,USD,1.1929
2026-02-01,EUR,GBP,0.86702
2026-02-01,EUR,USD,1.1927
2026-02-02,EUR,GBP,0.86658
2026-02-02,EUR,USD,1.187
2026-02-03,EUR,GBP,0.86376
2026-02-03,EUR,USD,1.182
2026-02-04,EUR,GBP,0.8627
2026-02-04,EUR,USD,1.1815
2026-02-05,EUR,GBP,0.86591
2026-02-05,EUR,USD,1.1803
2026-02-06,EUR,GBP,0.86882
2026-02-06,EUR,USD,1.1801
2026-02-07,EUR,GBP,0.86874
2026-02-07,EUR,USD,1.1802
2026-02-08,EUR,GBP,0.86879
2026-02-08,EUR,USD,1.1801
2026-02-09,EUR,GBP,0.87022
2026-02-09,EUR,USD,1.1846
2026-02-10,EUR,GBP,0.87125
2026-02-10,EUR,USD,1.1897
2026-02-11,EUR,GBP,0.87105
2026-02-11,EUR,USD,1.1906
2026-02-12,EUR,GBP,0.8705
2026-02-12,EUR,USD,1.1882
2026-02-13,EUR,GBP,0.87153
2026-02-13,EUR,USD,1.1872
2026-02-14,EUR,GBP,0.87154
2026-02-14,EUR,USD,1.1872
2026-02-15,EUR,GBP,0.87155
2026-02-15,EUR,USD,1.1872
2026-02-16,EUR,GBP,0.87029
2026-02-16,EUR,USD,1.1859
2026-02-17,EUR,GBP,0.87157
2026-02-17,EUR,USD,1.1853
2026-02-18,EUR,GBP,0.87225
2026-02-18,EUR,USD,1.1843
2026-02-19,EUR,GBP,0.87302
2026-02-19,EUR,USD,1.1798
2026-02-20,EUR,GBP,0.87349
